Time,Price,5-Day EMA,KNN MA,Highlight
401,367.11010742188,366.99655781554225,367.07358398437606,Red
402,367.32000732422,367.10437431843485,367.063623046876,Green
403,367.35998535156,367.1895779961432,367.06962280273603,Green
404,367.06500244141,367.14805281123216,367.06555786133,Green
405,367.56500244141,367.28703602129144,367.095019531252,Green
406,367.23071289062,367.268261644401,367.28402099609593,Red
407,367.51989746094,367.352140249914,367.308142089844,Green
408,367.07000732422,367.2580959413493,367.348120117188,Red
409,367.19320678711,367.23646622326953,367.29012451172,Red
410,367.24499511719,367.23930918790967,367.31576538086006,Red
411,367.04998779297,367.1762020562631,367.251763916016,Red
412,367.33999633789,367.23080015013875,367.21561889648603,Green
413,367.38720703125,367.28293577717585,367.179638671876,Green
414,367.54998779297,367.3719531157739,367.243078613282,Green
415,367.8450012207,367.52963581741596,367.31443481445405,Green
416,367.83999633789,367.63308932424064,367.43443603515595,Green
417,367.81021118164,367.69212994337374,367.59243774413994,Green
418,367.79501342773,367.72642443815914,367.68648071289,Green
419,367.64279174805,367.69854687478943,367.768041992186,Red
420,367.36999511719,367.5890296222563,367.78660278320206,Red
421,367.33190917969,367.50332280806754,367.6916015625,Red
422,367.55999755859,367.522214391575,367.58998413086,Red
423,367.51998901367,367.52147259894,367.53994140625,Red
424,367.54000854492,367.52765124760003,367.484936523438,Green
425,367.2799987793,367.44510042483336,367.46437988281207,Red
426,367.41500854492,367.43506979819557,367.44638061523403,Red
427,367.54000854492,367.47004938043705,367.46300048828004,Green
428,367.26501464844,367.40170446977135,367.459002685546,Red
429,367.4700012207,367.4244700534142,367.4080078125,Green
430,367.20999145508,367.3529771873028,367.394006347656,Red
431,367.0299987793,367.24531771796853,367.38000488281193,Red
432,367.34991455078,367.2801833289057,367.303002929688,Red
433,367.85998535156,367.47345066979045,367.26498413086,Green
434,368.20001220703,367.7156378488703,367.38397827148395,Green
435,368.45001220703,367.9604293015902,367.52998046875,Green
436,368.39999389648,368.10695083322014,367.77798461914,Green
437,368.10998535156,368.1079623393334,368.051983642576,Green
438,368.24810791016,368.15467752960893,368.20399780273203,Red
439,367.64001464844,367.98312323588596,368.281622314452,Red
440,367.5696105957,367.8452856891573,368.16962280273395,Red
441,367.07888793945,367.5898197725882,367.99354248046797,Red
442,366.32000732422,367.1665489564655,367.72932128906194,Red
443,366.66500854492,366.99936881928363,367.371325683594,Red
444,366.9700012207,366.9895796197558,367.05470581054595,Red
445,367.30969238281,367.0962838741072,366.920703124998,Green
446,367.70999145508,367.3008530677648,366.86871948242003,Green
447,367.60430908203,367.4020050725199,366.99494018554594,Green
448,367.9700012207,367.5913371219133,367.251800537108,Green
449,367.92001342773,367.70089589051884,367.512799072264,Green
450,367.87008666992,367.7572928169859,367.70280151367,Green
451,367.88000488281,367.79819683892725,367.81488037109204,Red
452,367.95999145508,367.8521283776448,367.84888305663804,Green
453,367.84991455078,367.85139043535656,367.920019531248,Red
454,367.75988769531,367.8208895220077,367.896002197264,Red
455,368.03939819336,367.8937257457918,367.86397705078,Green
456,368.10501098633,367.96415415930454,367.897839355468,Green
457,368.23001098633,368.0527731016464,367.942840576172,Green
458,368.28500366211,368.1301832884676,367.996844482422,Green
459,368.60000610352,368.2867908934851,368.083862304688,Green
460,368.85998535156,368.4778557128434,368.25188598632997,Green
461,368.95199584961,368.63590242509895,368.41600341797,Green
462,369.11499023438,368.79559836152595,368.585400390626,Green
463,369.16000366211,368.917066795054,368.762396240236,Green
464,369.11999511719,368.9847095690993,368.937396240236,Green
465,369.57000732422,369.1798088208062,369.04139404297,Green
466,369.67999267578,369.34653677246416,369.183398437502,Green
467,369.7200012207,369.4710249218761,369.328997802736,Green
468,369.70498657227,369.5490121386741,369.45,Green
469,369.80999755859,369.63600727864605,369.55899658203197,Green
470,369.84069824219,369.70423759982737,369.69699707031197,Green
471,369.970703125,369.7930594415516,369.751135253906,Green
472,370.05499267578,369.8803705196277,369.80927734375,Green
473,370.14999389648,369.9702449785785,369.876275634766,Green
474,370.07998657227,370.006825509809,369.965277099608,Green
475,370.26708984375,370.09358028778934,370.019274902344,Green
476,370.43099975586,370.2060534438129,370.10455322265597,Green
477,370.33898925781,370.25036538181195,370.196612548828,Green
478,370.10989379883,370.20354152081796,370.253411865234,Red
479,370.23080444336,370.2126291616653,370.245391845704,Red
480,370.07998657227,370.1684149652002,370.275555419922,Red
481,369.94000244141,370.09227745727014,370.238134765626,Red
482,369.73999023438,369.97484838297345,370.13993530273603,Red
483,369.69000244141,369.8798997357856,370.02013549804997,Red
484,369.77011108398,369.8433035185171,369.93615722656597,Red
485,369.69000244141,369.7922031594814,369.84401855469,Red
486,369.67999267578,369.7547996649143,369.766021728518,Red
487,369.62799072266,369.7125300174962,369.714019775392,Red
488,369.69000244141,369.70502082546744,369.69161987304796,Green
489,369.36990356445,369.59331507179496,369.69161987304796,Red
490,369.23999023438,369.47554012599,369.61157836914197,Red
491,369.04000854492,369.3303629323,369.521575927736,Red
492,368.94989013672,369.20353866710667,369.393579101564,Red
493,369.11999511719,369.17569081713447,369.257958984376,Red
494,369.07000732422,369.14046298616296,369.143957519532,Red
495,368.99731445312,369.092746808482,369.083978271486,Green
496,368.75,368.9784978723213,369.035443115234,Red
497,368.83981323242,368.9322696590209,368.97744140625,Red
498,368.60000610352,368.8215151405206,368.95542602539,Red
499,368.33499145508,368.6593405787071,368.851428222656,Red
500,367.89001464844,368.4028986019514,368.704425048828,Red
501,368.13500976562,368.3136023231743,368.482965087892,Red
502,367.88000488281,368.16906984305285,368.359967041016,Red
503,367.16000366211,367.8327144494052,368.16800537109395,Red
504,366.76998901367,367.4784726374935,367.880004882812,Red
505,366.45001220703,367.1356524940057,367.56700439453004,Red
506,366.23999023438,366.83709840746377,367.279003906248,Red
507,366.29998779297,366.6580615359658,366.9,Red
508,366.70999145508,366.67537150900387,366.583996582032,Green
509,365.91000366211,366.42024889337256,366.493994140626,Red
510,365.41000366211,366.0835004829517,366.321997070314,Red
511,364.73999023438,365.6356637334278,366.11399536133,Red
